"","ShowCode","ShowName","episode","drop5","Avg100","Avg95"
"229","IP21"," HPF Punjabi","EP1",59.3,15.8021,36.8982800982801
"230","IP21"," HPF Punjabi","EP2",53.6,17.2493,35.4756465517241
"231","IP21"," HPF Punjabi","EP3",57.34,18.1666,40.4200656352555
"232","IP21"," HPF Punjabi","EP4",75.04,10.0461,36.3629807692308
"233","IP21"," HPF Punjabi","EP5",71.25,11.485,36.8212173913044
"234","IP21"," HPF Punjabi","EP6",70.69,11.6591,36.9873763220744
"235","IP21"," HPF Punjabi","EP7",72.53,11.6744,38.7510010921005
"236","IP22","Desiband punjabi","EP1",19.59,43.3655,53.3350329561
"237","IP22","Desiband punjabi","EP2",21.48,32.5866,40.8322720326032
"238","IP22","Desiband punjabi","EP3",23.7,34.5625,44.5706422018349
"239","IP22","Desiband punjabi","EP4",19.94,36.0365,44.3910816887335
"240","IP22","Desiband punjabi","EP5",20.93,37.6396,46.9857088655622
"241","IP23","Khaufnaak Raten","EP1",57.49,22.8661,52.2844036697248
"242","IP23","Khaufnaak Raten","EP2",68.28,14.7572,44.2465321563682
"243","IP23","Khaufnaak Raten","EP3",68.86,13.1794,39.1987797045601
"244","IP23","Khaufnaak Raten","EP4",67.36,12.2726,35.4050245098039
"245","IP23","Khaufnaak Raten","EP5",62.53,21.4055,54.9116626634641
"246","IP24","HPF Kannada","EP1",60.63,18.4563,44.7988315976632
"247","IP24","HPF Kannada","EP2",61.11,16.6897,40.5839547441502
"248","IP24","HPF Kannada","EP3",57.27,21.9628,49.4493330212965
"249","IP24","HPF Kannada","EP4",63.63,16.0687,41.9703051965906
"250","IP24","HPF Kannada","EP5",68.55,13.5087,40.4327503974563
"251","IP25","Saanvi","EP1",53.28,12.5072,23.7669092465753
"252","IP25","Saanvi","EP2",57.67,11.9342,25.2579730687456
"253","IP26","HPF Marathi","EP1",54.21,15.0194,30.6990609303341
"254","IP26","HPF Marathi","EP2",64.46,10.8756,27.3989870568374
"255","IP26","HPF Marathi","EP3",52.93,14.4955,28.0943275971957
"256","IP26","HPF Marathi","EP4",78.68,7.8097,31.7424953095685
"257","IP26","HPF Marathi","EP5",74.86,8.914,31.5712012728719
"258","IP26","HPF Marathi","EP6",81.27,7.5357,35.8836091831287
"259","IP26","HPF Marathi","EP7",67.3,11.3146,30.8776758409786
"260","IP26","HPF Marathi","EP8",74.21,9.5742,33.3377278014734
"261","IP26","HPF Marathi","EP9",77.87,8.4502,34.3628558517849
"262","IP26","HPF Marathi","EP10",65.87,12.0667,32.3741576325813
"263","IP26","HPF Marathi","EP11",70.45,9.7827,29.8602368866328
"264","IP27","Aarohi Marathi","EP1",48.74,16.0341,29.049356223176
"265","IP27","Aarohi Marathi","EP2",54.07,15.1989,30.0994992379708
"266","IP27","Aarohi Marathi","EP3",57.7,12.1749,25.4777777777778
"267","IP27","Aarohi Marathi","EP4",68.02,10.6067,29.8470919324578
"268","IP27","Aarohi Marathi","EP5",62.63,8.7992,20.5991436981536
"269","IP27","Aarohi Marathi","EP6",49.21,14.1822,25.7361685371136
"270","IP27","Aarohi Marathi","EP7",73.07,9.236,29.3056071295952
"271","IP27","Aarohi Marathi","EP8",66.42,10.4273,27.2698034544372
"272","IP27","Aarohi Marathi","EP9",36.82,18.6675,28.3744855967078
"273","IP27","Aarohi Marathi","EP10",39.35,15.8417,24.1835119538335
"274","IP27","Aarohi Marathi","EP11",44.45,13.4952,22.6486048604861
"275","IP27","Aarohi Marathi","EP12",61.35,10.8322,24.9521345407503
"276","IP27","Aarohi Marathi","EP13",66.01,11.4141,29.7396293027361
"277","IP27","Aarohi Marathi","EP14",67.09,8.3767,21.4068672136129
"278","IP27","Aarohi Marathi","EP15",56.39,11.2364,22.8695253382252
"279","IP27","Aarohi Marathi","EP16",50.5,12.277,23.180404040404
"280","IP28","Radda cinemacha","EP1",24.7,26.1466,34.0199203187251
"281","IP28","Radda cinemacha","EP2",54.03,15.5467,30.6088753534914
"282","IP28","Radda cinemacha","EP3",57.35,14.1744,30.3864009378664
"283","IP28","Radda cinemacha","EP4",54.01,15.7543,31.8301804740161
"284","IP28","Radda cinemacha","EP5",67.52,10.5885,29.2053571428571
"285","IP28","Radda cinemacha","EP6",42.31,22.7862,38.3959091697001
"286","IP28","Radda cinemacha","EP7",62.22,13.8665,33.8186871360508
"287","IP28","Radda cinemacha","EP8",43.38,17.5001,29.3578240904274
"288","IP28","Radda cinemacha","EP9",71.5,8.8602,27.4056140350877
"289","IP28","Radda cinemacha","EP10",40.53,20.0475,32.2523961661342
"290","IP28","Radda cinemacha","EP11",45.15,16.1922,28.0206016408387
"291","IP28","Radda cinemacha","EP12",43.15,15.1575,25.0036939313984
"292","IP28","Radda cinemacha","EP13",43.99,18.3486,31.1239064452776
"293","IP28","Radda cinemacha","EP14",34.7,19.0652,27.9006125574273
"294","IP29","Aakriti","EP1",60.73,19.0541,46.2220524573466
"295","IP29","Aakriti","EP2",73.25,10.575,36.6728971962617
"296","IP29","Aakriti","EP3",64.05,15.7605,41.3502086230876
"297","IP29","Aakriti","EP4",70.04,12.1761,37.4138851802403
"298","IP29","Aakriti","EP5",74.19,13.7188,49.8826036419992
"299","IP30","Dhamal band","EP1",25.92,30.7709,40.6351241900648
"300","IP30","Dhamal band","EP2",19.79,36.9309,45.4253833686573
"301","IP30","Dhamal band","EP3",18.84,47.3294,57.8093888615081
"302","IP30","Dhamal band","EP4",23.37,32.5703,41.7686284744878
"303","IP30","Dhamal band","EP5",21.92,40.3706,51.0979764344262
"304","IP30","Dhamal band","EP6",12.61,29.5562,33.4452454514246
"305","IP31","Aparna horror Tamil","EP1",62.59,16.3389,40.6939321037156
"306","IP31","Aparna horror Tamil","EP2",72.05,10.603,33.6683363148479
"307","IP31","Aparna horror Tamil","EP3",62.97,16.163,40.4526059951391
"308","IP31","Aparna horror Tamil","EP4",44.24,27.2548,47.4187589670014
"309","IP31","Aparna horror Tamil","EP5",58.37,18.1219,41.1333173192409
"310","IP32","Swetha Prasad","EP1",23.73,49.0937,63.6956863773436
"311","IP33","Mohini","EP1",66.02,16.6211,46.2457327839906
"312","IP33","Mohini","EP2",70.9,11.4943,36.9127147766323
"313","IP33","Mohini","EP3",51.25,20.2732,39.9236923076923
"314","IP33","Mohini","EP4",61.3,16.1037,39.2472868217054
"315","IP33","Mohini","EP5",61.11,21.9068,54.2666495242993
"316","IP34","Ram Tamil","EP1",27.1,44.1573,59.7897119341564
"317","IP35","Neha kum Malyalam","EP1",18.38,55.721,67.8123009066405
"318","IP36","Mastiband Malyalam","EP1",16.55,54.1197,64.4039544637508
"319","IP36","Mastiband Malyalam","EP2",18.31,39.8748,48.2821642795936
"320","IP36","Mastiband Malyalam","EP3",13.8,55.8949,64.5124129930394
"321","IP36","Mastiband Malyalam","EP4",13.8,55.8949,64.5124129930394
"322","IP36","Mastiband Malyalam","EP5",19.02,45.9588,56.264633242776
"323","IP36","Mastiband Malyalam","EP6",12.47,40.6686,46.1279561293271
"324","IP37","Aarohee malyalam","EP1",36.16,23.1899,34.9201127819549
"325","IP38","DDD Gujrati","EP1",61.17,11.8862,28.160442956477
"326","IP38","DDD Gujrati","EP2",54.77,12.622,25.9442847667477
"327","IP38","DDD Gujrati","EP3",46.56,13.7974,23.9962574850299
"328","IP39","Daramani Rato","EP1",66.45,17.1307,48.9940387481371
"329","IP40","Mastiband Gujrati","EP1",23.13,37.0636,47.4282554962925
"330","IP40","Mastiband Gujrati","EP2",23.13,37.0636,47.4282554962925
"331","IP40","Mastiband Gujrati","EP3",31.13,34.5045,49.1726441120952
"332","IP40","Mastiband Gujrati","EP4",31.66,24.6375,34.9915130231197
"333","IP40","Mastiband Gujrati","EP5",31.99,30.1134,43.3236288781062
"334","IP40","Mastiband Gujrati","EP6",18.22,23.3487,28.0221325507459
"335","IP41","DC Gujrati","EP1",30.93,45.2795,64.4996380483567
